File,f1,f2,f3,f4,f5,f6,f7,f8,f9,SNCI,SCDI
mol1.mol,5.479651226511908,152.4603916221232,0.0,5.351,88.522947,124213.0,-0.006350896349008262,0.04444675767915873,-11.93883495487914,42.58812990953875,0.999997496927582
mol2.mol,5.479651226511908,152.4603916221232,0.0,5.366,88.523235,124201.0,-0.00635391227962648,0.044411232801451504,-11.93317609752187,42.60423795605065,0.9999974881223049
mol3.mol,5.479651226511908,152.4603916221232,0.0,5.362,88.523438,124162.0,-0.006354608221900222,0.04424609030543912,-11.914815568250804,42.59552488664652,0.9999974870468323
